,Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,29.0,Male,Master's,Data Scientist,3.0,75000.0
77,32.0,Male,Master's,Senior Software Engineer,6.0,100000.0
169,34.0,Male,Master's,Senior Software Engineer,9.0,105000.0
214,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
255,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
288,44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
315,44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
375,31.0,Male,Master's,Data Scientist,6.0,160000.0
379,30.0,Male,PhD,Data Scientist,5.0,180000.0
383,33.0,Male,PhD,Data Scientist,8.0,190000.0
387,27.0,Male,PhD,Data Scientist,2.0,115000.0
391,33.0,Male,PhD,Data Scientist,8.0,190000.0
398,30.0,Female,PhD,Data Scientist,5.0,180000.0
402,33.0,Male,PhD,Data Scientist,8.0,190000.0
406,27.0,Male,PhD,Data Scientist,2.0,115000.0
410,33.0,Male,PhD,Data Scientist,8.0,190000.0
417,30.0,Female,PhD,Data Scientist,5.0,180000.0
421,33.0,Male,PhD,Data Scientist,8.0,190000.0
425,27.0,Male,PhD,Data Scientist,2.0,115000.0
429,33.0,Male,PhD,Data Scientist,8.0,190000.0
436,30.0,Female,PhD,Data Scientist,5.0,180000.0
440,33.0,Male,PhD,Data Scientist,8.0,190000.0
444,27.0,Male,PhD,Data Scientist,2.0,115000.0
448,33.0,Male,PhD,Data Scientist,8.0,190000.0
452,27.0,Male,PhD,Data Scientist,2.0,115000.0
456,33.0,Male,PhD,Data Scientist,8.0,190000.0
463,30.0,Female,PhD,Data Scientist,5.0,180000.0
467,33.0,Male,PhD,Data Scientist,8.0,190000.0
471,27.0,Male,PhD,Data Scientist,2.0,115000.0
475,33.0,Male,PhD,Data Scientist,8.0,190000.0
479,27.0,Male,PhD,Data Scientist,2.0,115000.0
483,33.0,Male,PhD,Data Scientist,8.0,190000.0
487,27.0,Male,PhD,Data Scientist,2.0,115000.0
491,33.0,Male,PhD,Data Scientist,8.0,190000.0
495,27.0,Male,PhD,Data Scientist,2.0,115000.0
499,33.0,Male,PhD,Data Scientist,8.0,190000.0
503,27.0,Male,PhD,Data Scientist,2.0,115000.0
507,29.0,Female,Master's,Data Scientist,6.0,180000.0
511,31.0,Female,Master's,Data Scientist,9.0,195000.0
515,30.0,Female,PhD,Data Scientist,7.0,185000.0
519,32.0,Female,PhD,Data Scientist,10.0,193000.0
523,31.0,Female,Master's,Data Scientist,6.0,180000.0
527,30.0,Female,PhD,Data Scientist,7.0,185000.0
531,29.0,Female,Master's,Data Scientist,6.0,180000.0
538,30.0,Male,PhD,Data Scientist,7.0,185000.0
543,29.0,Female,Master's,Data Scientist,6.0,180000.0
547,31.0,Female,PhD,Data Scientist,9.0,195000.0
551,29.0,Female,Master's,Data Scientist,6.0,180000.0
555,30.0,Female,PhD,Data Scientist,7.0,185000.0
561,29.0,Female,Master's,Data Scientist,6.0,180000.0
567,30.0,Female,PhD,Data Scientist,7.0,185000.0
571,29.0,Female,Master's,Data Scientist,6.0,180000.0
577,30.0,Female,PhD,Data Scientist,7.0,185000.0
581,29.0,Female,Master's,Data Scientist,6.0,180000.0
587,30.0,Female,PhD,Data Scientist,7.0,185000.0
591,29.0,Female,Master's,Data Scientist,6.0,180000.0
597,28.0,Female,Master's,Data Scientist,6.0,175000.0
601,31.0,Male,Master's,Data Scientist,9.0,195000.0
605,30.0,Female,PhD,Data Scientist,7.0,185000.0
609,32.0,Female,PhD,Data Scientist,10.0,193000.0
613,31.0,Female,Master's,Data Scientist,6.0,180000.0
617,30.0,Female,PhD,Data Scientist,7.0,185000.0
621,29.0,Female,Master's,Data Scientist,6.0,180000.0
628,30.0,Male,PhD,Data Scientist,7.0,185000.0
633,29.0,Female,Master's,Data Scientist,6.0,180000.0
